Delay,Bandwidth,Source IP address,Destination IP address,date_year,date_month_no,date_day,hour,min,sec
0,439,57,83,2022,8,9,14,17,49
0,112,57,83,2022,8,9,14,17,49
0.00021,74,82,61,2022,8,9,14,17,49
0.00017,1506,57,83,2022,8,9,14,17,49
3.90E-05,86,82,61,2022,8,9,14,17,49
0.011841,74,57,83,2022,8,9,14,17,49
0.065929,1474,82,61,2022,8,9,14,17,49
0,1373,82,61,2022,8,9,14,17,49
0.013181,74,57,83,2022,8,9,14,17,49
0.009178,74,57,83,2022,8,9,14,17,49
0.092708,1506,57,83,2022,8,9,14,17,49
0,80,57,83,2022,8,9,14,17,49
0,506,57,83,2022,8,9,14,17,49
0.000179,74,82,61,2022,8,9,14,17,49
0.000367,112,57,83,2022,8,9,14,17,49
6.70E-05,74,82,61,2022,8,9,14,17,49
0.20879,1474,82,61,2022,8,9,14,17,49
0,1446,82,61,2022,8,9,14,17,49
0.013038,74,57,83,2022,8,9,14,17,49
0.000679,74,57,83,2022,8,9,14,17,49
10.001472,55,18,1,2022,8,9,14,17,49
0.10012,1506,57,83,2022,8,9,14,17,49
0,153,57,83,2022,8,9,14,17,49
0.000151,74,82,61,2022,8,9,14,17,49
0.000146,112,57,83,2022,8,9,14,17,49
6.60E-05,74,82,61,2022,8,9,14,17,49
0.058142,66,2,18,2022,8,9,14,17,49
0.105231,1474,82,61,2022,8,9,14,17,49
0,1447,82,61,2022,8,9,14,17,49
0.014242,74,57,83,2022,8,9,14,17,49
0,74,57,83,2022,8,9,14,17,49
0.10708,1175,57,83,2022,8,9,14,17,50
0,253,57,83,2022,8,9,14,17,50
0.000152,74,82,61,2022,8,9,14,17,50
0.000171,112,57,83,2022,8,9,14,17,50
6.00E-05,74,82,61,2022,8,9,14,17,50
0,80,18,16,2022,8,9,14,17,50
0,80,18,16,2022,8,9,14,17,50
0.668265,1474,82,61,2022,8,9,14,17,50
0,1356,82,61,2022,8,9,14,17,50
0.000262,147,82,61,2022,8,9,14,17,50
0.0002,112,82,61,2022,8,9,14,17,50
0.015923,253,17,18,2022,8,9,14,17,50
0.015464,74,57,83,2022,8,9,14,17,50
0.017838,317,17,18,2022,8,9,14,17,50
0.000271,74,57,83,2022,8,9,14,17,50
0,86,82,47,2022,8,9,14,17,50
0.021686,1137,82,61,2022,8,9,14,17,50
0.000584,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1058,82,61,2022,8,9,14,17,50
0.000491,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1058,82,61,2022,8,9,14,17,50
0.000393,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1058,82,61,2022,8,9,14,17,50
0.000507,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0.014001,74,57,83,2022,8,9,14,17,50
7.80E-05,1474,82,61,2022,8,9,14,17,50
0,1474,82,61,2022,8,9,14,17,50
0.003448,74,57,83,2022,8,9,14,17,50
0,74,57,83,2022,8,9,14,17,50
0,74,57,83,2022,8,9,14,17,50
0.039952,86,43,83,2022,8,9,14,17,50
0,74,57,83,2022,8,9,14,17,50
0.000168,74,82,47,2022,8,9,14,17,50
0.000302,74,57,83,2022,8,9,14,17,50
0.000539,311,82,47,2022,8,9,14,17,50
0.008141,74,57,83,2022,8,9,14,17,50
0,74,57,83,2022,8,9,14,17,50
0,74,57,83,2022,8,9,14,17,50
0,74,57,83,2022,8,9,14,17,50
0,74,57,83,2022,8,9,14,17,50
0,74,57,83,2022,8,9,14,17,50
0.00284,74,57,83,2022,8,9,14,17,50
0,74,57,83,2022,8,9,14,17,50
0,74,57,83,2022,8,9,14,17,50
0.000372,1474,82,61,2022,8,9,14,17,50
